Class name                                                   Meta tags                               
10_0_3_1                                                     inventory,attribute_name=none,source=agent,hardclass
127_0_0_1                                                    inventory,attribute_name=none,source=agent,hardclass
172_30_0_57                                                  inventory,attribute_name=none,source=agent,hardclass
192_168_122_1                                                inventory,attribute_name=none,source=agent,hardclass
2_cpus                                                       source=agent,derived-from=sys.cpus,hardclass
32_bit                                                       source=agent,hardclass                  
Day26                                                        time_based,source=agent,hardclass       
GMT_Day26                                                    time_based,source=agent,hardclass       
GMT_Hr07                                                     time_based,source=agent,hardclass       
GMT_Hr07_Q2                                                  time_based,source=agent,hardclass       
GMT_Hr7                                                      time_based,source=agent,hardclass       
GMT_Lcycle_2                                                 time_based,source=agent,hardclass       
GMT_May                                                      time_based,source=agent,hardclass       
GMT_Min25_30                                                 time_based,source=agent,hardclass       
GMT_Min29                                                    time_based,source=agent,hardclass       
GMT_Morning                                                  time_based,source=agent,hardclass       
GMT_Q2                                                       time_based,source=agent,hardclass       
GMT_Tuesday                                                  time_based,source=agent,hardclass       
GMT_Yr2015                                                   time_based,source=agent,hardclass       
Hr10                                                         time_based,source=agent,hardclass       
Hr10_Q2                                                      time_based,source=agent,hardclass       
Lcycle_2                                                     time_based,source=agent,hardclass       
May                                                          time_based,source=agent,hardclass       
Min25_30                                                     time_based,source=agent,hardclass       
Min29                                                        time_based,source=agent,hardclass       
Morning                                                      time_based,source=agent,hardclass       
PK_MD5_ea351ffcdab5883646a6c16f2acc905d                      inventory,attribute_name=none,source=agent,derived-from=sys.key_digest,hardclass
Q2                                                           time_based,source=agent,hardclass       
Tuesday                                                      time_based,source=agent,hardclass       
Yr2015                                                       time_based,source=agent,hardclass       
__os_release_id_                                             source=promise                          
__os_release_id____os_release_version_                       source=promise                          
_stdlib_has_path_apt_cache                                   source=promise                          
_stdlib_has_path_apt_config                                  source=promise                          
_stdlib_has_path_apt_get                                     source=promise                          
_stdlib_has_path_apt_key                                     source=promise                          
_stdlib_has_path_aptitude                                    source=promise                          
_stdlib_has_path_awk                                         source=promise                          
_stdlib_has_path_bc                                          source=promise                          
_stdlib_has_path_cat                                         source=promise                          
_stdlib_has_path_chkconfig                                   source=promise                          
_stdlib_has_path_cksum                                       source=promise                          
_stdlib_has_path_createrepo                                  source=promise                          
_stdlib_has_path_crontab                                     source=promise                          
_stdlib_has_path_crontabs                                    source=promise                          
_stdlib_has_path_curl                                        source=promise                          
_stdlib_has_path_cut                                         source=promise                          
_stdlib_has_path_dc                                          source=promise                          
_stdlib_has_path_df                                          source=promise                          
_stdlib_has_path_diff                                        source=promise                          
_stdlib_has_path_dig                                         source=promise                          
_stdlib_has_path_dmidecode                                   source=promise                          
_stdlib_has_path_domainname                                  source=promise                          
_stdlib_has_path_dpkg                                        source=promise                          
_stdlib_has_path_echo                                        source=promise                          
_stdlib_has_path_egrep                                       source=promise                          
_stdlib_has_path_env                                         source=promise                          
_stdlib_has_path_ethtool                                     source=promise                          
_stdlib_has_path_find                                        source=promise                          
_stdlib_has_path_free                                        source=promise                          
_stdlib_has_path_getfacl                                     source=promise                          
_stdlib_has_path_git                                         source=promise                          
_stdlib_has_path_grep                                        source=promise                          
_stdlib_has_path_groupadd                                    source=promise                          
